Job_Role,Company_Name,City,Work_type,Salary,Job_function,Description,Post_Time
Terminal Manager (Export Processing Terminal - EPT),Diamond Star Port and Terminals,Lagos,Full Time,Confidential,Supply Chain & Procurement,Yesterday,"The Terminal Manager will oversee the overall operations of an Export Processing Terminal (EPT), ensuring smooth cargo processing, compliance with regulations, and efficient coordination of export activities. This role involves managing staff, maintaining operational efficiency, liaising with regulatory agencies, and optimizing logistics to enh ..."
Customer Service Attendant,Promatic Nigeria,Lagos,Full Time,"75,000 - 150,000",Customer Service & Support,Today,"The Customer Service Attendant will be responsible for assisting customers with their inquiries, providing excellent customer service, and ensuring a positive customer experience. The role involves handling customer complaints and feedback, promoting sales, and attending training sessions to stay updated with company policies and services."
Sales Executive (EduTech),Skoolified Edutech Ltd.,Remote (Work From Home),Full Time,Confidential,Sales,Yesterday,"We seek a highly motivated and results-driven Sales Executive to acquire new schools, educators, and learning institutions. The ideal candidate will have a strong background in B2B sales, preferably in the education or technology sector, and a deep understanding of the challenges faced by schools and educators in Nigeria."
Digital Marketer (E-Learning Products),TreNova Limited,Remote (Work From Home),Contract,"150,000 - 250,000",Sales,Today,"We’re an innovative e-learning company seeking a goal-driven Digital Marketer to promote and sell our digital learning products. In this role, you’ll not only develop and execute marketing campaigns across digital channels, but you’ll also play a key part in driving sales and recruiting sales partners to expand our reach."
Real Estate Marketer,Techs & Concrete Nigeria Limited,Abuja,Full Time,"75,000 - 150,000",Marketing & Communications,Today,We are seeking a highly motivated and results-oriented marketer with a banking background or experience in converting prospects into clients.
Executive Assistant,Evana,Remote (Work From Home),Full Time,"250,000 - 400,000",Admin & Office,Today,We seek to hire an exceptional Executive Assistant to help act as a gatekeeper and point of contact for internal and external communications.
Forklift Technician,KSR Forklifts Limited,Rest of Nigeria (Kwara),Full Time,"75,000 - 150,000",Engineering & Technology,Yesterday,"The candidate will be providing technical, diagnostic and repair assistance  as per requirements of the forklift fleet. He will be responsible for the repair and preventative maintenance of IC and electric forklifts and warehouse equipment on-site and off-site. He will be expected to make daily reports and Job Cards on work performed daily."
Receptionist,Crystalview Eyecare,Ibadan & Oyo State,Full Time,"75,000 - 150,000",Admin & Office,Today,"We are in need of a smart , hardworking and neat female, to join our team as a receptionist/ front desk officer."
Shopper Experience & Trade Supervisor,StreSERT Integrated Limited,Lagos,Full Time,"150,000 - 250,000",Customer Service & Support,Today,"We are looking for a proactive and customer-focused Shopper Experience & Trade Supervisor to enhance in-store brand presence, drive consumer engagement, and optimize the overall shopper experience. This role involves working closely with sales, marketing, and retail partners to ensure seamless execution of trade marketing."
Math and English Teacher,Tiny Acorns Nursery,Lagos,Part Time,"75,000 - 150,000","Research, Teaching & Training",Today,We are seeking a dedicated and enthusiastic Math/English Teacher to join our academic team. The ideal candidate will need a strong background in both subject areas and a passion for inspiring students to achieve their academic potential. This role involves planning and delivering engaging lessons and assessing student progress.
Power Plant Engineer,StreSERT Integrated Limited,Abeokuta & Ogun State,Full Time,"250,000 - 400,000",Engineering & Technology,Today,"We are seeking a highly skilled Power Plant Engineer to oversee the operation, maintenance, and optimization of power generation systems within our facility. The ideal candidate will ensure the efficient, safe, and reliable operation of plant utilities, including gas generators, diesel generators, and Medium Voltage operation."
"Asst Manager, Admin",StreSERT Integrated Limited,Abeokuta & Ogun State,Full Time,"250,000 - 400,000",Admin & Office,Today,"We are seeking an experienced Asst Manager, Admin (General Affairs & Compliance) to join our dynamic team and drive critical functions that underpin the success of our organization."
Brand Communications Executive,StreSERT Integrated Limited,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,Today,"We are seeking a dynamic and creative Brand Communication Executive to join our team. As a BCE, you will be responsible for developing and executing communication strategies that strengthen the brand image, enhance customer engagement, and support overall business objectives."
School Principal,Oasis Canadian Schools,Port Harcourt & Rivers State,Full Time,"150,000 - 250,000",Management & Business Development,Today,"We seek a dynamic, intelligent and experienced School Principal to lead our institution into a new phase of excellence and innovation. The successful candidate will be a seasoned leader with extensive experience in managing a first-class international school and a proven track record of upholding high educational standards."
Brand Marketing Executive,StreSERT Integrated Limited,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,Today,"The BTL Marketing Executive will be responsible for developing and executing targeted marketing initiatives that engage consumers directly and drive brand loyalty. The candidates will work closely with our marketing team to design and implement impactful BTL strategies, including promotions, events, and direct marketing."
